id,rate
Batanes,17246
Camiguin,88478
Siquijor,95984
Apayao,119184
Dinagat Islands,127152
Mountain Province,154590
Biliran,171612
Guimaras,174613
Quirino,188991
Ifugao,202802
Kalinga,212680
Aurora,214336
Marinduque,234521
Abra,241160
Catanduanes,260964
Romblon,292781
Cotabato,299438
Davao Occidental,316342
Basilan,346579
Tawi-tawi,390715
Southern Leyte,421750
Nueva Vizcaya,452287
Eastern Samar,467160
Surigao del Norte,485088
Occidental Mindoro,487414
Sarangani,544261
Davao Oriental,558958
Aklan,574823
Antique,582012
Camarines Norte,583313
Surigao del Sur,592250
Ilocos Norte,593081
Misamis Occidental,602126
Northern Samar,632379
Zamboanga Sibugay,633129
Ilocos Sur,689668
Agusan del Norte,691566
Agusan del Sur,700653
Compostela Valley,736107
Bataan,760650
Capiz,761384
Samar,780481
La Union,786653
Benguet,791590
Sorsogon,792949
Sultan Kudarat,812095
Zambales,823888
Sulu,824731
Oriental Mindoro,844059
Masbate,892393
Zamboanga del Norte,1011393
Davao del Norte,1016332
Lanao del Norte,1019013
Lanao del Sur,1045429
Palawan,1104585
Maguindanao,1173933
Cagayan,1199320
Bohol,1313560
Albay,1314826
Negros Oriental,1354995
Tarlac,1366027
North Cotabato,1379747
Bukidnon,1415226
South Cotabato,1509735
Misamis Oriental,1564459
Isabela,1593566
Zamboanga del Sur,1872473
Camarines Sur,1952544
Leyte,1966768
Quezon,2122830
Nueva Ecija,2151461
Davao del Sur,2265579
Iloilo,2384415
Pampanga,2609744
Batangas,2694335
Rizal,2884227
Pangasinan,2956726
Laguna,3035081
Negros Occidental,3059136
Bulacan,3292071
Cavite,3678301
Cebu,4632359
